Boru Çapı (mm);Debi (L/dk);Hız (m/sn);Kayıp (bar / 100 m)
20;10;0,53;0,28
20;20;1,06;0,92
25;20;0,68;0,3
25;30;1,02;0,48
32;30;0,63;0,17
32;50;1,05;0,39
40;40;0,54;0,1
40;60;0,8;0,22
50;60;0,51;0,07
50;100;0,85;0,16
63;80;0,43;0,05
63;150;0,81;0,15
75;100;0,38;0,03
75;200;0,76;0,11
90;150;0,39;0,03
90;250;0,66;0,07
110;200;0,35;0,02
110;350;0,61;0,05
